Title,Author,ISBN Valid,Publisher,Subjects,i
Lady sapiens : enquête sur la femme au temps de la préhistoire /,"Cirotteau, Thomas",9791037504081,Les Arènes,Femmes préhistoriques,8018
Neurosapiens : comment utiliser votre cerveau pour vivre mieux ! /,"Roux, Anaïs 19..-....",9791037508409,Les Arènes,,8019
Introduction au droit suisse : manuel scolaire /,,9782940400454; 2940400458,Université de Neuchâtel Faculté de droit de,Einführung in die Rechtswissenschaft; Droit--Suisse; Schweiz; Suisse; Lehrmittel; Manuels d'enseignement,8020
Démonolâtrie et sorcellerie au Moyen Âge : fantasmes et réalités /,"Cohn, Norman, 1915-2007",,Payot,Sorcellerie--Moyen âge; Démonologie--Moyen âge; sorcellerie--Moyen-Âge; démon--Moyen-Âge,8021
La manipulation mentale : sociologie des sectes en France /,"Esquerre, Arnaud",9782213638355; 2213638357,Fayard,secte--* sociologie--France,8022
"Plus jamais esclaves ! : de l'insoumission à la révolte, le grand récit d'une émancipation : 1492-1838 /","Helg, Aline, 1953-",9782707188656; 2707188654,La Découverte,Esclaves; Esclaves fugitifs; Noirs marrons; Révoltes d'esclaves; Émancipation; Esclavage; 16e siècle-19e siècle (1re moitié); Amérique,8023
Les animaux dans l'histoire /,,9791021058309,Tallandier/L'Histoire,Animaux--Histoire; Élevage--Histoire; Relations homme-animal,8024
Françoise sauvée des flammes ? : une Valaisanne accusée de sorcellerie au XVe siècle /,"Strobino, Sandrine",2940110085; 9782940110087,Section d'histoire Faculté des lettres Université de Lausanne,"procès--sorcellerie--Valais (Suisse)--15e s.; procès--sorcellerie--Bonvin, Françoise",8025
Les procès d'animaux du Moyen Age à nos jours /,"Vartier, Jean",,Hachette,Procès d'animaux; Moyen âge,8026
L'histoire de l'esclavage et de la traite négrière : 10 nouvelles approches /,,9782290257340; 2290257346,Librio,Esclavage--Histoire,8027
Des hommes justes : du patriarcat aux nouvelles masculinités /,"Jablonka, Ivan",9782021401561; 2021401561,Seuil,Masculinité; Égalité des sexes; Patriarcat (sociologie),8028
Juger les vers : exorcismes et procès d'animaux dans le diocèse de Lausanne (XVe-XVIe s.) /,"Chêne, Catherine",2940110042; 9782940110049,Université de Lausanne - Section d'histoire - Faculté des lettres,"animal--exorcisme--procès--Lausanne (Suisse, diocèse, VD)--15e s. / 16e s.",8029
Journal d'un bourgeois de Paris : de 1405 à 1449 /,,2253051373; 9782253051374,Librairie Générale Française,Guerre de Cent Ans (1337-1453); Bourgeoisie--France--Paris (France)--15e siècle; Récits personnels français,8030
Tueurs en série : une approche criminologique /,"Négrier-Dormont, Lygia",2080357549; 9782080357540,Flammarion,tueur en série--* psychologie,8031
Dictionnaire encyclopédique du Moyen Âge /,,2204058653; 9782204058650; 2204058661; 9782204058667,Ed du Cerf,Moyen-Âge--[encyclopédie],8032
Histoire des péchés capitaux au Moyen Age /,"Casagrande, Carla",2700723279; 9782700723274,Aubier,Péchés capitaux--Moyen âge; péché capital--Moyen-Âge; péché (théologie)--Moyen-Âge,8033
Cigarettes : le dossier sans filtre /,"Boisserie, Pierre",9782205079333; 2205079336,Dargaud,Tobacco Industry--history; Tobacco Smoking--adverse effects; Tobacco--adverse effects; Smoke-Free Policy; Tabac--Industrie et commerce; Graphic Novel; Bandes dessinées,8034
Le loup : une histoire culturelle /,"Pastoureau, Michel",9782021403954; 2021403955,Éditions du Seuil,Loup--Dans les représentations sociales; Loup--Dans l'art; Loup--Dans la littérature,8035
Américanisation : une histoire mondiale (XVIIIe-XXIe siècle) /,"Tournès, Ludovic",9782213705163; 221370516X,Fayard,Américanisation--1800-....,8036
1968 : de grands soirs en petits matins /,"Bantigny, Ludivine",9782021301571; 2021301575,Éditions du Seuil,France--1968 (Journées de mai),8037
La parole est un sport de combat /,"Périer, Bertrand avocat 1972-....",2709660695; 9782709660693,Jean-Claude Lattès,Art de parler en public; Communication orale--Méthodologie,8038
Traité d'entomologie forensique : les insectes sur la scène de crime /,"Wyss, Claude",9782889150281; 2889150283,Presses polytechniques et universitaires romandes,Entomologie médicale; Médecine légale; Entomology--methods; Forensic Medicine--methods; [Ouvrages de référence],8039
Retour à Birkenau /,"Kolinka, Ginette",9782246820703; 2246820707,Bernard Grasset,Shoah--Récits personnels; Camps de concentration--Birkenau (Pologne); Survivantes de la Shoah; Récits personnels français,8040
L'animal exemplaire au Moyen Age (Ve-XVe siècle) /,,2868474357; 9782868474353,Presses universitaires de Rennes,animal--exemplarité--littérature européenne--Moyen-Âge--[congrès]; animal--exemplum--littérature latine--Moyen-Âge--[congrès],8041
Des Américains et des armes à feu : démocratie et violence aux États-Unis /,"Combeau, Didier",9782701146034; 2701146038,Belin,arme à feu - contrôle--Etats-Unis; arme à feu - contrôle--société (milieu humain)--Etats-Unis--1911 / 21e s. (début),8042
Les morts ont la parole /,"Boxho, Philippe",9782380756975; 238075697X,Kennes,Médecine légale; Rechtsmedizin; Autopsie; Leiche; Tod; vorsätzliche Tötung; Suizid,8043
Créer son podcast pour les nuls /,"Boeuf, Pénélope",9782412068519; 2412068518,First Editions,Guides pratiques; Podcasting,8044
Respiro nella notte /,"Merini, Alda",8817176931; 9788817176934,BUR Rizzoli,,8045
La salita dei saponari /,"Cassar Scalia, Cristina",8806249304; 9788806249304,Einaudi,,8046
Birnam Wood /,"Catton, Eleanor",9781783784271; 178378427X; 9781783784257; 1783784253,Granta,Billionaires; Crops; Farms; Ideology; Landslides; Survival; New Zealand; Fiction; Thrillers (Fiction); Landslides--New Zealand--Fiction.; Farms--New Zealand--Fiction.; Crops--Fiction.; Billionaires--Fiction.; Ideology--Fiction.; Survival--Fiction.,8047
Le dernier livre /,"Durpaire, François",9782344033425; 2344033424,Glénat,Histoire du livre; Bandes dessinées,8048
My lovely hockey club /,"Morinaga, Aï",9782811602031; 2811602038; 9782811602345; 2811602348; 9782811602789; 281160278X; 9782811603120; 2811603123; 9782811603441; 2811603441; 9782811603830; 2811603832; 9782811604110; 2811604111; 9782811604523; 2811604529; 9782811605087; 2811605088; 978281160554,Pika,Bandes dessinées; Mangas,8049
Relife /,Yayoiso,9782355929458; 2355929459; 9782355929670; 235592967X; 9782355929816; 2355929815; 9791032700020; 9791032700198; 9791032701416; 9791032702437; 9791032703069; 9791032703342; 9791032704141; 9791032704394; 9791032705100; 9791032705650; 9791032706725; 979103270,Ki-oon,Bandes dessinées; Mangas,8050
Hikaru no go /,"Hotta, Yumi",9782759505654; 2759505650; 9782759505661; 2759505669; 9782759505678; 2759505677; 9782759505685; 2759505685; 9782759505692; 2759505693; 9782756055121; 2756055123; 9782756056029; 2756056022; 9782756056036; 2756056030; 9782756056043; 2756056049; 978275605605,Tonkam,Go (jeu); Bandes dessinées; Mangas,8051
Légendes et histoires du Léman /,"Vellas, Christian, 1937-",9782832107683; 2832107680,Slatkine,Léman (lac); Légendes,8052
Un million d'huîtres au sommet de la montagne /,"Nogués, Alex",9782372731164; 2372731165,Les Editions des éléphants,Fossiles; Géologie; Ouvrages pour la jeunesse,8053
Carmina veneficarum = Charmes de sorcières /,"Le Callet, Blandine",9782377750238; 2377750230,Les Belles Lettres,Latin (langue)--Acquisition linguistique; Livres bilingues,8054
"Entre science et ""nigromance"" : astrologie, divination et magie dans l'Occident médiéval (XIIe-XVe siècle) /","Boudet, Jean-Patrice",9782859445447; 2859445447,Publ de la Sorbonne,astrologie--Occident--Moyen-Âge--12e s. / 15e s.; divination--Occident--Moyen-Âge--12e s. / 15e s.; magie--Occident--Moyen-Âge--12e s. / 15e s.,8055
Redonner du sens au travail : une aspiration révolutionnaire /,"Coutrot, Thomas 1956-....",9782021503234; 2021503232,La République des idées; Seuil,Job Satisfaction; Work--psychology; Sociologie du travail.; Évolution sociale,8056
"Politique suisse : Institutions, acteurs, processus /","Sciarini, Pascal 1963-....",9782889155279; 2889155277,Presses polytechniques et universitaires romandes,Suisse--Politique et gouvernement; Institutions politiques--Suisse--2000-....,8057
La psychologie de l'adolescence /,,9782760632561; 2760632563,Presses de l'Université de Montréal,Adolescence; Psychologie,8058
Analyse des politiques suisses de l'environnement /,,9783725309177; 3725309175,Rüegger,politique de l'environnement--Suisse; Politique de l'environnement; Politique de l'environnement--Suisse; Suisse,8059
Dracula : essays on the life and times of Vlad Ţepeş /,,0880332204; 9780880332200,East European monographs,Vlad--(prince de Valachie ;--dit Dracula)--3 ;; Vlad--(prince de Valachie ;--dit Dracula)--3 ;--Empire ottoman--Roumanie--15e s.--[études diverses],8060
L'hydrothérapie chez soi : la médecine des capillaires /,"Dogna, Michel",9782813205407; 2813205400,Guy Trédaniel éditeur,Hydrothérapie,8061
L'ironie christique : commentaire de l'Evangile selon Jean /,"Grosjean, Jean",2070723194; 9782070723195,Gallimard,"""Bible. NT. Jean (évangile)"" [commentaire]",8062
"Fermentations ! : légumes, fruits, céréales, légumineuses, produits laitiers, boissons, viande, poisson… /","Katz, Sandor Ellix",9782360983186; 2360983180,Terre vivante,Aliments fermentés,8063
Sois ce que tu es /,"Ramana, Maharshi",9782866812515; 2866812514,Almora,,8064
Le jeûne : une expérience philosophique /,"Lerat, Eva",9782746525986; 2746525984,Le Pommier,Jeûne--Philosophie,8065
"C'est moi, François /","Bruck, Edith 1931-....",9782364686953; 2364686954,Editions du Sous sol,François--(pape ;--1); Entretiens,8066
"Objets low-tech & énergies directes : fabriquer four solaire, réchaud à bois, éolienne... /","Perrin, Alizée 19..-....",9782379222672; 2379222673,Ulmer,,8067
L'alimentation glucose control /,"Nys, Pierre",9791028527976,Leduc Editions,Aliments à faible teneur en glucides; Glucose--Métabolisme; Glucose--Santé; Diététique,8068
Voyage au centre du microbiote /,Fäst,9782413040422; 2413040420,Delcourt,Gastrointestinal Microbiome; Graphic Novel; Flore intestinale; Bandes dessinées,8069
Princesse Alice de Battenberg : le tragique destin de la mère du prince Philip /,"Kertanguy, Inès de",9782258200661; 2258200660,Les Presses de la Cité,Alice (1885-1969 ; princesse de Grèce); Roman biographique,8070
La malédiction du cordon bleu : [ou comment Big Food maltraite nos aliments et malmène notre santé] /,Vrob 19..-....,9782365495554; 2365495559,Thierry Souccar,"Diet, Western; Eating; Consumer Behavior; Food Industry; Graphic Novel; Aliments--Achat; Aliments--Composition; Consommateurs--Éducation; Alimentation occidentale.; Nutrition.; Éducation nutritionnelle.; Aliments--Consommation.; Bandes dessinées de reportage",8071
Médiations et processus d'apprentissage /,,9782725636665; 2725636663,Retz; FNAME,Enfants--Psychologie; Psychologie scolaire; Psychologie de l'apprentissage; Interaction en éducation,8072
Le livre des maisons extraordinaires : L'art de Seiji Yoshida = のがたりの家 - 吉田誠治 美術設定集 /,"Yoshida, Seiji",9782356393333; 2356393331,Elytis,Habitations--Dans l'art.; Habitations individuelles--Conception et construction.; Habitations individuelles--Dessins et plans.; Architecture fantastique--Dessins et plans.; Architecture fantastique--Conception et construction.; Ouvrages pour la jeunesse.,8073
L'età fragile /,"Di Pietrantonio, Donatella, 1963-",9788806255787; 8806255789,Einaudi,Roman italien,8074
"Le petit Larousse illustré : 90 000 articles, 5 000 illustrations, 355 cartes, 160 planches, chronologie universelle /",,9782035901408; 2035901405,Larousse,Encyclopédies et dictionnaires français; Français (langue); Dictionnaires français,8075
La Turquie : de l'Empire Ottoman à la République d'Atatürk /,"Zarcone, Thierry",2070306585; 9782070306589,Gallimard,"Empire ottoman--Histoire; Turquie--Histoire; Atatürk, Mustafa Kemal; Empire ottoman--1288 / 1918; Turquie--1071 / 21e s. (début)",8076
Histoire 11e : sciences humaines et sociales - cycle 3 : fiches de l'élève /,,9782885004120; 2885004126,CIIP Conférence intercantonale de l'instruction publique de la Suisse romande et du Tessin,Histoire moderne et contemporaine; Art--Histoire; Art moderne; Histoire (discipline)--Étude et enseignement (secondaire),8077
La médiation culturelle /,"Chaumier, Serge",2200618662; 9782200618667,A Colin,Diffusion de la culture--1990-..; Politique culturelle--1990-..; Communication et culture--1990-..,8078
L'égalité filles-garçons en s'amusant : [40 activités en classe] pour apprendre l'égalité et à vivre ensemble /,,9782807332775; 2807332773,De Boeck supérieur,Activités dirigées; Égalité des sexes--Enseignement primaire,8079
L'égalité filles garçons : pas bête /,"Duval, Stéphanie",9782747092036; 2747092038,Bayard jeunesse,Égalité des sexes; Discrimination sexuelle; Ouvrages pour la jeunesse,8080
L'époque contemporaine : 1770-1914 /,"Bourgeois, Claude",2606004647; 9782606004644,LEP Loisirs et Pédagogie,histoire--1770 / 1914--[manuel],8081
Cette réalité que j'ai pourchassée /,"Maillart, Ella",9782881828850; 288182885X,Zoé,"Maillart, Ella; 1925-1941; [Correspondance]",8082
Ella Maillart : l'intrépide femme du globe /,"Abolivier, Gwenaëlle",9782375023099; 2375023099,Paulsen,"Maillart, Ella; Biographie; Ouvrages illustrés",8083
Dictionnaire des concepts fondamentaux des didactiques /,,9782804153137; 2804153134,De Boeck,didactique--[dictionnaire],8084
Mille ans de contes classiques /,,9782408020682; 2408020689,Milan,Contes littéraires,8085
Mes p'tits contes du canton de Vaud /,"Pompéï, Christine",9782365080088; 2365080081; 9782365082846; 236508284X; 9782365082082; 2365082084,Auzou,Suisse--Vaud (Suisse); Contes suisses; Contes,8086
Enseigner les arts visuels /,"Lagoutte, Daniel",2011707161; 9782011707161,Hachette éducation,éducation artistique--enfant; art - enseignement--enseignement primaire; art - enseignement--école--* pédagogie--France--19e s. / 21e s. (début),8087
Engager le corps pour enseigner et apprendre : Diversité de perspectives /,,9791037017611,Laval Presses de l'Université de Laval; Hermann,Interaction en éducation; Expression corporelle; Gestes; Pédagogie du corps,8088
Tout l'art du monde MS : une année de productions plastiques et visuelles en moyenne section /,"Virmoux, Philippe",2725635055; 9782725635057,Retz,Art--Étude et enseignement (préscolaire); Gestes--Étude et enseignement (préscolaire); Couleur (art)--Étude et enseignement (préscolaire); Corps humain--Dans l'art--Étude et enseignement (primaire); Sens et sensations--Étude et enseignement (préscolaire),8089
La valise-musée : recueil d'exercices : 90 oeuvres d'art pour l'éducation artistique /,"Lagoutte, Daniel",2010211243; 9782010211249,Hachette,,8090
Se construire par les arts plastiques : on devient comme on dessine /,"Odier, Evelyne",9782850086892; 2850086894,Chronique sociale,art--dessin d'enfant--expression--* psychologie; enfant--expression--handicapé mental--thérapie par l'art; art--soi - développement--* psychologie,8091
"Tout l'art du monde, cycle 2 : trois années d'arts plastiques au cycle 2 /","Virmoux, Philippe",9782725637747; 2725637740,Retz,Art--Étude et enseignement; Activités dirigées; Activités créatrices et manuelles; Séquence pédagogique,8092
La créativité de l'enfant : évaluation et développement /,"Besançon, Maud",9782804701987; 2804701980,Mardaga,Enfants; Créativité; Créativité (éducation),8093
Artexpression et créativité /,"Dinello, Raimundo",9789974960213; 9974960215,Grupo Magró,Pédagogie d'expression ludocréative,8094
Vivre la pédagogie du projet collectif /,,9782894612972; 2894612974,Chenelière/McGraw-Hill,pédagogie du projet,8095
Pédagogie de projet : mieux enseigner est toujours possible /,,9782606011475; 2606011473,LEP,pédagogie,8096
Oh ! Un livre qui fait des sons /,"Tullet, Hervé",9782747066075; 274706607X,Bayard jeunesse,Jardin des chansons,8097
La communication non violente au quotidien /,"Rosenberg, Marshall B.",9782889537051; 2889537056,Jouvence,Communication interpersonnelle; Communication non violente,8098
La couleur des émotions : l'album /,"Llenas, Anna",9791026401667,Quatre Fleuves,Émotions; Livres d'images,8099
Le livre de mes émotions : un livre interactif avec plein de surprises ! /,"Couturier, Stéphanie, 1978-",9782324020674; 232402067X,Gründ,Émotions--Psychologie; Intelligence émotionnelle; Émotions chez l'enfant; Livres d'images,8100
Mes maisons du monde /,"Sourdais, Clémentine",9782021056440; 2021056449,Seuil jeunesse,Architecture et climat; Habitations; Géographie; Ouvrages pour la jeunesse,8101
Psychologie de la créativité /,"Lubart, Todd I., 1965-",9782200262846; 2200262841,A Colin,Créativité,8102
Les émotions racontées aux enfants /,"Hébert, Ariane",9782896625789; 289662578X,Editions de Mortagne,Émotions; Ouvrages pour la jeunesse,8103
Le dessin d'enfant /,"Wallon, Philippe",9782130592297; 2130592295,Presses universitaires de France,dessin d'enfant--* psychologie,8104
La valise atelier : 40 oeuvres d'art pour la pratique artistique à l'école /,"Lagoutte, Daniel",2011158354; 9782011158352,Hachette,,8105
Impossible : roman /,"De Luca, Erri, 1950-",9782072860829; 2072860822,Gallimard,,8106
La sexualité masculine dans tous ses ébats /,"Causse, Céline",9782213720524; 2213720525,Fayard,Sexualité masculine; Troubles sexuels,8107
Mécanismes de défense et coping /,"Chabrol, Henri",9782100775453; 2100775456,Dunod,Mécanismes de défense; Ajustement (psychologie); Psychologie clinique,8108
"Carl Rogers, être vraiment soi-même : l'approche centrée sur la personne /","Odier, Geneviève",9782212552911; 2212552912,Editions Eyrolles,"Rogers, Carl; Psychothérapie non directive; relation thérapeutique--Rogers, Carl",8109
"Se former à la relation d'aide : concepts, méthodes, applications /","Bioy, Antoine, 1972-",9782100814978; 2100814974,Dunod,"Rogers, Carl; Accompagnement individuel; Psychothérapie non directive; Comportement d'aide; Counseling",8110
Le défi de l'accompagnement des personnes âgées en institution /,"Lambelet, Alexandre",9782882840790; 2882840799,Editions HETSL,"Personnes âgées--Protection, assistance, etc.; Établissements médico-sociaux--Aspect politique",8111
Histoire de la neutralité suisse : trois siècles de politique extérieure fédérale /,"Bonjour, Edgar",,P Attinger; La Baconnière,neutralité--politique étrangère--Suisse--17e s. (fin) / 1945,8112
Tell me : la Suisse racontée autrement /,"Dirlewanger, Dominique 19..-....",9782889500284; 2889500284,Livreo-Alphil,Suisse--Histoire; Suisse--Historiographie,8113
La grève générale de 1918 : histoire d'un événement fondateur du XXe siècle en Suisse : matériaux pour l'enseignement /,"Dirlewanger, Dominique 19..-....",9782839924887; 2839924889,Print Riviera; Syndicat des services publics,Grève générale (Suisse ; 1918); Sources; Manuels d'enseignement secondaire; Illustrations,8114
L'âge des extrêmes : histoire du court XXe siècle :  1914-1991 /,"Hobsbawm, Eric John, 1917-2012",9782874950117; 2874950114,André Versaille,histoire--1914 / 1991,8115
Autorités et entreprises suisses face à la guerre du Viêt Nam : 1960-1975 /,"Gaffino, David",9782940235216; 294023521X,Ed Alphil,Conditions économiques--Vietnam--1945-1975; Vietnam--1945-1975; Politique et gouvernement--Vietnam--1945-1975; Guerre du Vietnam (1961-1975); Relations économiques extérieures--Suisse--Vietnam--1945-1990; relations internationales--Suisse--guerre du Vietnam; relations économiques internationales--Suisse--guerre du Vietnam; commerce extérieur--Suisse--guerre du Vietnam; diplomatie--neutralité--politique étrangère--Suisse--guerre du Vietnam; dommage de guerre--politique économique--reconstruction--Suisse--guerre du Vietnam; relations économiques internationales--Suisse--Vietnam du nord--Vietnam du sud--1960 / 1975; relations internationales--Suisse--Vietnam du nord--Vietnam du sud--1960 / 1975,8116
"Viêt-Nam, fractures d'une nation : une histoire contemporaine de 1858 à nos jours /","Guillemot, François",9782707190949; 2707190942,La Découverte,Révolutions--Vietnam; Vietnam--Histoire,8117
Une histoire mondiale des cinémas de propagande /,,9782369421924; 2369421924,Nouveau Monde,Films de propagande; Histoire; 1898-1970; PROPAGANDE; [Ouvrages de référence]; [Études diverses],8118
Hollywood et le rêve américain : cinéma et idéologie aux Etat-Unis /,"Bidaud, Anne-Marie",9782200276638; 220027663X,A Colin,"Idéologie; Cinéma; Cinéma américain; Thèmes, motifs; Rêve américain; Valeurs sociales; Etats-Unis",8119
Une histoire populaire des Etats-Unis : de 1492 à nos jours /,"Zinn, Howard, 1922-2010",9782910846794; 2910846792,Agone,"Années 1920--Etats-Unis; Ségrégation--Etats-Unis; Esclavage--États-Unis; New Deal; Guerre du Vietnam (1961-1975); Watergate, Affaire du (1972-1974); Féminisme--Etats-Unis; Classes populaires--Etats-Unis; peuple (classe sociale)--politique--Etats-Unis--16e s. / 20e s.; politique--travailleur--Etats-Unis--16e s. / 20e s.; pauvre--politique--Etats-Unis--16e s. / 20e s.; minorité ethnique--ségrégation raciale--Etats-Unis--16e s. / 20e s.; Classes populaires--États-Unis--Histoire; Travailleurs--États-Unis--Histoire; États-Unis--Histoire; États-Unis--1861-1865 (Guerre de Sécession); Etats-Unis--16e s. / 20e s.",8120
Atlas historique des épidémies /,"Lachenal, Guillaume",9782746763173; 2746763176,Éditions Autrement,"Peste; Peste noire; Choléra; Grippe espagnole; Sida; Trypanosomiase africaine; Covid-19; Lyme, Maladie de; Sanatoriums; Hygiénisme; Virus; Épidémies--Géographie historique--Cartes; Livres documentaires",8121
"La peste noire, 1345-1730 : grandes peurs et épidémies /","Naphy, William G",274670398X; 9782746703988,Ed Autrement,peste--Europe--14e s. (2e moitié) / 18e s. (1ère moitié),8122
La peste noire /,"Costedoat, Caroline",9782715407237; 2715407238,Que sais-je?,Peste noire,8123
"Evian, aux sources d'une réussite (1790-1914) /","Breuillaud-Sottas, Françoise",9782912008343; 2912008344,Le Vieil Annecy,Evian-les-Bains (France)--1790 / 1914,8124
La Belle Époque : la France de 1900 à 1914 /,"Winock, Michel",2262016674; 9782262016678,Perrin,France--1900 / 1914,8125
"La peinture à Florence et à Sienne après la peste noire : les arts, la religion, la société au milieu du XIVe siècle /","Meiss, Millard",9782754106405; 2754106405,Hazan,Peinture italienne; 14e siècle; Peste noire; Florence (Italie); Sienne (Italie),8126
Pestes et épidémies au Moyen Age : (VIe-XVe siècles) /,"Lannoy, François de",9782737377754; 2737377757,Ouest-France,Peste--Europe--Moyen âge; Épidémies--Europe--Moyen âge,8127
L'historiographie /,"Offenstadt, Nicolas",9782130731191; 2130731198,Presses univ de France,Historiographie,8128
Douze leçons sur l'histoire /,"Prost, Antoine",9782757844380; 2757844385,Éditions du Seuil,Historiographie--Histoire; Historiens,8129
Le commerce des esclaves /,"Walvin, James",9782810401895; 2810401896,Géo,traite des noirs--15e s. / 19e s.; esclavage--Afrique--Amérique--Europe--15e s. / 19e s.,8130
Le livre rouge = Liber novus /,"Jung, Carl Gustav",9782352041412; 2352041414,La Compagnie du Livre rouge; L'Iconoclaste,"Jung, Carl Gustav--[document]; imagination--Jung, Carl Gustav--* psychanalyse--[document]; inconscient--psychologie analytique--Jung, Carl Gustav--[document]",8131
Atlas des esclavages : de l'Antiquité à nos jours /,"Dorigny, Marcel",2746763036; 9782746763036,Autrement,Esclavage--Histoire; Traite des esclaves--Histoire; Esclavage--Abolition--Histoire; Atlas,8132
Histoire globale de la France coloniale /,,9782848769806; 2848769807,Philippe Rey,Colonies françaises--Histoire; Colonies françaises--Administration; Colonisation--France; Colonialisme (idée politique)--France--Histoire; Décolonisation--Colonies françaises,8133
"La révolution matérielle : une histoire de la consommation : France, XIXe-XXIe siècle /","Daumas, Jean-Claude, Dr en histoire",9782081272941; 2081272946,Flammarion,Consommation--France--19e siècle; Consommation--France--20e siècle,8134
Histoire du Japon et des Japonais /,"Reischauer, Edwin Oldfather",9782757842171; 275784217X; 9782757842164; 2757842161,Ed du Seuil,Histoire; Japon,8135
"La Constitution fédérale de la Suisse : 1848-1948 : ses origines, son élaboration, son évolution /","Rappard, William Emmanuel 1883-1958",,Impr Réunies; La Baconnière,"Suisse.--""Constitution de 1848"" - commémoration; Etat fédéral - formation - commémoration--Suisse--1848 / 1948",8136
Le grand atlas du Moyen Âge /,,9782344055311; 2344055312,Le Monde Histoire & civilisations; Glénat,Civilisation médiévale; Dictionnaires; Ouvrages de référence; Moyen âge.; Histoire médiévale.; Civilisation médiévale.,8137
Histoire de l'alimentation : de la Préhistoire à nos jours /,,9782410013559; 2410013554,Belin,Banquets; Alimentation--Histoire,8138
Les Incas /,"Itier, César",9782251410401; 2251410406,Les Belles Lettres,Inca (peuple); Empire inca,8139
3 minutes pour comprendre 50 événements clés de la Première Guerre mondiale /,"Schiavon, Max",9782702920893; 2702920896,le Courrier du livre,Guerre mondiale (1914-1918),8140
Propagande : la manipulation de masse dans le monde contemporain /,"Colon, David historien 1973-....",9782081520219; 2081520214,Flammarion,Propagande--Histoire; Médias et propagande; Internet et propagande; Manipulation (psychologie); Désinformation,8141
Géopolitique des extrêmes droites : logiques identitaires et monde multipolaire /,"François, Stéphane, 1973-",9791031805030,Le Cavalier Bleu,Extrême droite; Mouvements identitaires; Géopolitique,8142
Une histoire mondiale de la propagande : de 1900 à nos jours /,"Almeida, Fabrice d', 1963-",9782732452944; 2732452947,Editions de La Martinière,Propagande; Communication politique; Marketing politique; 20e siècle; [Ouvrages illustrés],8143
Les années 68 : une rupture politique et culturelle /,"Skenderovic, Damir, 1965-",9782889010370; 2889010376,Société d'histoire de la Suisse romande; Editions Antipodes,Contre-culture; Mouvements alternatifs (politique); Mouvements contestataires; 1968; Mouvements étudiants; 20e siècle (2e moitié); Contre-culture--Suisse; Mouvements alternatifs (politique)--Suisse; Mouvements contestataires--Suisse; Mouvements étudiants--Suisse; Année 1968--Suisse; Suisse,8144
Le nazisme : une idéologie en actes /,"Chapoutot, Johann, 1978-",,La Documentation photographique,Nationalsozialistische deutsche Arbeiterpartei (Allemagne).--Hitlerjugend; National-socialisme et femmes; National-socialisme; Guerre mondiale (1939-1945); Éducation à l'image,8145
Trop jeune pour être vieille : Petit manuel de savoir rire (et profiter) de son âge /,"Goron, Joëlle",9782207160596; 2207160599,Editions Denoël,Femmes âgées; Vieillesse,8146
"L'intervention systémique dans le travail social : repères épistémologiques, éthiques et méthodologiques /","Amiguet, Olivier",2882240384; 9782882240385,EESP; Editions IES,théorie des systèmes--travail social--* méthodologie; intervention psychosociologique--théorie des systèmes--* méthodologie,8147
Histoire du travail social en Europe /,,9782711716388; 2711716384,Vuibert,travail social--Europe--19e s. / 21e s. (début)--[études diverses],8148
"L'incitation et l'aide au suicide : le ""modèle"" suisse et la situation française /","Salamolard, Michel",9782880114800; 2880114802,Ed Saint-Augustin,"aide au suicide--* droit--Suisse; aide au suicide--Europe--France--Suisse; Suicide, Assisted; Suicide, Assisted--legislation & jurisprudence; Suicide, Assisted--ethics; Switzerland; France; Suicide",8149
Le titre préliminaire du Code civil /,"Steinauer, Paul-Henri, 1948-2021",9783719027285; 3719027287,Helbing Lichtenhahn,droit civil--principes généraux (droit)--Suisse--[manuel]; Zivilrecht; Einleitungstitel; Schweiz; Grundlagenwerk,8150
"Droit constitutionnel suisse : fondements, institutions et défis /","Gonin, Luc",9783725585526; 3725585520,Schulthess Editions romandes,Verfassungsrecht; Bundesrecht; Droit constitutionnel; Schweiz; Suisse; Lehrmittel; [Manuels d'enseignement supérieur],8151
Droits fondamentaux /,"Dubey, Jacques, 1972-",9783719040246; 3719040240; 9783719040253; 3719040259; 9783719040260; 3719040267,Helbing Lichtenhahn,Grundrecht; Schweiz; Grundlagenwerk,8152
Les Constitutions vaudoises (1803-2003) : miroir des idées politiques /,,2884541233; 9782884541237,Bibliothèque historique vaudoise,Vaud (Suisse) - constitution--1803 / 2003--[études diverses]; droit constitutionnel--Vaud (Suisse)--1803 / 2003--[études diverses]; Verfassungsrecht; Verfassungsgeschichte; kantonales Recht; Kantonsverfassung; Revision(Rechtssetzung); Rechtsgeschichte; Schweiz; Waadt,8153
The Charter of the United Nations : a commentary /,,9780199639762; 0199639760; 9780199639779; 0199639779; 9780199580156; 0199580154,Oxford University Press,"Nations Unies.--""Charte des Nations Unies""; Droit international; [Législation]; [Commentaires]",8154
European Convention on Human Rights : commentary /,"Grabenwarter, Christoph, 1966-",9783406603211; 3406603211; 9783832972745; 3832972749; 9783719033569; 3719033562; 9781849461917; 1849461910,Helbing Liechtenhahn; CH Beck,Convention européenne des droits de l'homme--(1950 ;--Rome); EMRK; Zusatzprotokoll; [Commentaires]; Textreproduktion; Kommentar(Werk),8155
Perméabilités du système juridique : essais sur le droit de l'État de droit /,"Moor, Pierre, 1940-",9782763731056; 2763731058,Presses de l'Université Laval,Rechtsstaat; Norm; Staatsorganisation und Verwaltung; Rechtsphilosophie; Schweiz,8156
